t,num
2020-09-15 11:01:00.000000,11
2020-09-15 11:02:00.000000,2
2020-09-15 11:03:00.000000,7
2020-09-15 11:04:00.000000,3
2020-09-15 11:05:00.000000,10
2020-09-15 11:06:00.000000,6
2020-09-15 11:07:00.000000,11
2020-09-15 11:08:00.000000,6
2020-09-15 11:09:00.000000,12
2020-09-15 11:10:00.000000,11
2020-09-15 11:11:00.000000,5
2020-09-15 11:12:00.000000,8
2020-09-15 11:13:00.000000,8
2020-09-15 11:14:00.000000,7
2020-09-15 11:15:00.000000,5
2020-09-15 11:16:00.000000,9
2020-09-15 11:17:00.000000,4
2020-09-15 11:18:00.000000,13
2020-09-15 11:19:00.000000,2
2020-09-15 11:20:00.000000,15
2020-09-15 11:21:00.000000,1
2020-09-15 11:22:00.000000,16
2020-09-15 11:23:00.000000,1
2020-09-15 11:24:00.000000,17
2020-09-15 11:25:00.000000,3
2020-09-15 11:26:00.000000,13
2020-09-15 11:27:00.000000,2
2020-09-15 11:28:00.000000,14
2020-09-15 11:29:00.000000,4
2020-09-15 11:30:00.000000,13
2020-09-15 11:31:00.000000,5
2020-09-15 11:32:00.000000,13
2020-09-15 11:33:00.000000,10
2020-09-15 11:34:00.000000,9
2020-09-15 11:35:00.000000,13
2020-09-15 11:36:00.000000,14
2020-09-15 11:37:00.000000,6
2020-09-15 11:38:00.000000,7
2020-09-15 11:39:00.000000,13
2020-09-15 11:40:00.000000,3
2020-09-15 11:41:00.000000,5
2020-09-15 11:42:00.000000,3
2020-09-15 11:43:00.000000,4
2020-09-15 11:44:00.000000,1
2020-09-15 11:45:00.000000,15
2020-09-15 11:46:00.000000,1
2020-09-15 11:47:00.000000,13
2020-09-15 11:48:00.000000,1
2020-09-15 11:49:00.000000,27
2020-09-15 11:50:00.000000,1
2020-09-15 11:51:00.000000,25
2020-09-15 11:52:00.000000,4
2020-09-15 11:53:00.000000,9
2020-09-15 11:54:00.000000,5
2020-09-15 11:55:00.000000,8
2020-09-15 11:56:00.000000,4
2020-09-15 11:57:00.000000,14
2020-09-15 11:58:00.000000,5
2020-09-15 11:59:00.000000,13
2020-09-15 12:00:00.000000,5
