a,b,c,t
0,1,2,1409
1,1,4,1437
2,1,4,1491
3,1,2,1512
4,1,3,1523
5,1,2,1592
6,1,3,1601
7,1,3,1664
8,1,2,1704
9,1,3,1724
10,1,2,1758
11,1,3,1789
12,1,2,1818
13,1,3,1851
14,1,2,1880
15,1,3,1902
16,1,4,1911
17,1,1,2196
18,1,1,2277
19,1,1,2360
20,1,2,2405
21,1,1,2417
22,1,1,2475
23,1,1,2631
24,1,2,4583
25,1,3,4608
26,1,2,4663
27,1,4,4671
28,1,2,4736
29,1,2,4792
30,1,3,4854
31,1,3,5029
32,1,1,5240
33,1,1,5327
34,1,1,5393
35,1,2,5424
36,1,2,5486
37,1,1,5498
38,1,1,5620
39,1,1,5794
40,1,2,7677
41,1,4,7774
42,1,3,7804
43,1,2,7813
44,1,3,7894
45,1,2,8008
46,1,2,8217
47,1,1,8419
48,1,1,8673
49,1,1,8951
50,1,3,10776
51,1,4,10796
52,1,2,10833
53,1,2,10960
54,1,3,10991
55,1,4,11006
56,1,3,11093
57,1,2,11261
58,1,1,11506
59,1,1,11610
60,1,1,11776
61,1,3,13922
62,1,2,13947
63,1,1,13959
64,1,2,14006
65,1,4,14079
66,1,1,14087
67,1,2,14104
68,1,3,14113
69,1,2,14208
70,1,3,14223
71,1,3,14283
72,1,2,14310
73,1,4,14337
74,1,3,14357
75,1,3,14447
76,1,2,14456
77,1,1,14851
78,1,1,17003
79,1,2,17011
80,1,2,17102
81,1,3,17113
82,1,4,17164
83,1,2,17185
84,1,4,17247
85,1,3,17257
86,1,2,17313
87,1,4,17412
88,1,1,17755
89,1,1,17857
90,1,1,18044
91,1,1,18134
92,1,1,18249
93,1,3,20131
94,1,2,20138
95,1,4,20145
96,1,3,20168
97,1,2,20176
98,1,4,20195
99,1,3,20233
100,1,2,20236
101,1,4,20253
102,1,3,20279
103,1,2,20332
104,1,4,20337
105,1,3,20371
106,1,2,20375
107,1,4,20411
108,1,2,20439
109,1,3,20478
110,1,2,20480
111,1,3,20530
112,1,2,20560
113,1,3,20566
114,1,2,20632
115,1,3,20634
116,1,2,20693
117,1,1,20758
118,1,1,20938
119,1,1,21010
120,1,1,21083
121,1,1,21149
122,1,1,21199
123,1,1,21257
124,1,1,21301
125,1,1,21359
126,1,2,23197
127,1,4,23236
128,1,3,23246
129,1,4,23301
130,1,2,23306
131,1,2,23378
132,1,3,23382
133,1,3,23430
134,1,4,23439
135,1,3,23470
136,1,2,23524
137,1,3,23542
138,1,2,23589
139,1,2,23625
140,1,3,23628
141,1,2,23670
142,1,3,23689
143,1,2,23714
144,1,3,23723
145,1,2,23758
146,1,1,23884
147,1,1,23978
148,1,1,24040
149,1,1,24100
150,1,1,24168
151,1,1,24250
152,1,1,24297
153,1,1,24379
154,1,1,24413
155,1,1,24499
156,1,3,26267
157,1,2,26289
158,1,3,26336
159,1,2,26374
160,1,3,26394
161,1,3,26455
162,1,2,26476
-1,0,0,26499
-2,0,0,26489
163,1,3,26623
164,1,2,26647
165,1,1,27176
166,1,1,27294
167,1,1,27381
168,1,1,27466
169,1,1,27531
170,1,1,27599
171,1,2,29586
172,1,4,29613
173,1,3,29655
174,1,2,29660
175,1,2,29721
176,1,2,29879
177,1,1,30264
178,1,1,30317
179,1,2,30350
180,1,1,30427
181,1,1,30520
182,1,1,30583
183,1,1,30625
184,1,1,30679
185,1,4,32671
186,1,3,32685
187,1,2,32692
188,1,3,32751
189,1,2,32779
190,1,4,32794
191,1,3,32845
192,1,4,32850
193,1,2,32859
194,1,2,32919
195,1,3,32927
196,1,2,32976
197,1,3,33020
198,1,3,33072
199,1,2,33266
200,1,1,33406
201,1,1,33509
202,1,1,33562
203,1,1,33634
204,1,1,33717
205,1,4,35753
206,1,2,35798
207,1,3,35809
208,1,2,35885
209,1,4,35892
210,1,2,35926
211,1,3,35966
212,1,2,35982
213,1,2,36115
214,1,2,36151
215,1,2,36212
216,1,4,36264
217,1,3,36272
218,1,1,36407
219,1,1,36425
